S. No.,Student Name,Student Email id,First Login Date,Active Status,Gender,Institute Name,Institute City,Institute State,Grade,Volunteer
1132,Manisha,manisha@gmail.com,21-06-2022,FALSE,Female,XYZ School Of Law,Surat,Gujarat,Graduate,FALSE
1133,Naina,naina@gmail.com,03-10-2022,FALSE,Female,XYZ School Of Law,Noida,Uttar Pradesh,Professional,FALSE
1134,Shraddha,shraddha@gmail.com,24-02-2022,TRUE,Female,XYZ School Of Architecture,Amritsar,Punjab,Graduate,FALSE
1135,Pooja,pooja@gmail.com,04-03-2022,TRUE,Female,XYZ Public School,Jaipur,Rajasthan,Grade 8-12,TRUE
1136,Tanuja,tanuja@gmail.com,29-08-2022,TRUE,Female,XYZ School Of Lifeskills,Pondicherry,Puducherry,Graduate,FALSE
1137,Varshini,varshini@gmail.com,03-10-2022,TRUE,Female,XYZ Public School,Kanpur,Uttar Pradesh,Grade 6-8,FALSE
1138,Vidya,vidya@gmail.com,04-04-2022,FALSE,Female,XYZ Public School,Hyderabad,Telangana,Grade 6-8,TRUE
1139,Shalini,shalini@gmail.com,12-06-2022,TRUE,Female,XYZ Pu College,Kolkata,West Bengal,Grade 8-12,TRUE
1140,Varshitha,varshitha@gmail.com,16-04-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Chennai,Tamil Nadu,Others,TRUE
1141,Tanya,tanya@gmail.com,14-09-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Mumbai,Maharashtra,Graduate,TRUE
1142,Nirupama,nirupama@gmail.com,09-08-2022,TRUE,Female,XYZ Pu College,Delhi,Delhi,Grade 8-12,FALSE
1143,Vismaya,vismaya@gmail.com,24-02-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Mumbai,Maharashtra,Others,TRUE
1144,Lahari,lahari@gmail.com,19-07-2022,TRUE,Female,XYZ Public School,Bengaluru,Karnataka,Grade 6-8,FALSE
1145,Divya,divya@gmail.com,10-03-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Delhi,Delhi,Graduate,FALSE
1146,Samruddhi,samruddhi@gmail.com,28-10-2022,FALSE,Female,XYZ School Of Dental And Medical Science,Chennai,Tamil Nadu,Others,FALSE
1147,Brijesh,brijesh@gmail.com,08-09-2022,FALSE,Male,XYZ School Of Applied Sciences And Research,Hyderabad,Telangana,Professional,FALSE
1148,Nageshwar,nageshwar@gmail.com,05-10-2022,FALSE,Male,XYZ School Of Lifeskills,Kanpur,Uttar Pradesh,Professional,FALSE
1149,Suman,suman@gmail.com,20-07-2022,FALSE,Male,XYZ Public School,Jaipur,Rajasthan,Grade 8-12,TRUE
1150,Sailesh,sailesh@gmail.com,02-07-2022,FALSE,Male,XYZ Public School,Kanpur,Uttar Pradesh,Grade 6-8,FALSE
1151,Puneeth,puneeth@gmail.com,03-03-2022,TRUE,Male,XYZ Public School,Pune,Maharashtra,Grade 6-8,FALSE
1152,Darshan,darshan@gmail.com,07-04-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Surat,Gujarat,Others,FALSE
1153,Yash,yash@gmail.com,24-07-2022,FALSE,Male,XYZ School Of Law,Agra,Uttar Pradesh,Postgraduate,FALSE
1154,Sharwanand,sharwanand@gmail.com,13-02-2022,TRUE,Male,XYZ School Of Dental And Medical Science,Amritsar,Punjab,Postgraduate,TRUE
1155,Rana,rana@gmail.com,03-09-2022,FALSE,Male,XYZ School Of Commerce,Allahabad,Uttar Pradesh,Postgraduate,FALSE
1156,Keerthan,keertan@gmail.com,02-10-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Patna,Bihar,Professional,TRUE
1157,Ganapathi,ganapathi@gmail.com,04-02-2022,FALSE,Male,XYZ School Of Engineering,Thiruvanantapuram,Kerala,Postgraduate,FALSE
1158,Kumar,kumar@gmail.com,21-03-2022,FALSE,Male,XYZ Pu College,Patna,Bihar,Grade 8-12,TRUE
1159,Harish,harish@gmail.com,20-03-2022,FALSE,Male,XYZ School Of Engineering,Hyderabad,Telangana,Professional,TRUE
1160,Naveen,naveen@gmail.com,05-04-2022,TRUE,Male,XYZ School Of Management Studies,Bengaluru,Karnataka,Professional,FALSE
1161,Manashwitha,manu@gmail.com,23-10-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Mumbai,Maharashtra,Professional,TRUE
1162,Sahana,sahana@gmail.com,13-07-2022,TRUE,Female,XYZ Pu College,Delhi,Delhi,Grade 8-12,FALSE
1163,Varsha,varsha@gmail.com,21-08-2022,TRUE,Female,XYZ School Of Commerce,Agra,Uttar Pradesh,Graduate,FALSE
1164,Smrithi,smrithi@gmail.com,09-06-2022,TRUE,Female,XYZ Public School,Surat,Gujarat,Grade 6-8,TRUE
1165,Sujitha,sujitha@gmail.com,19-03-2022,FALSE,Female,XYZ School Of Engineering,Agra,Uttar Pradesh,Professional,TRUE
1166,Vishwa,vishwa@gmail.com,06-08-2022,TRUE,Male,XYZ Pu College,Surat,Gujarat,Grade 8-12,TRUE
1167,Hari,hari@gmail.com,20-02-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Delhi,Delhi,Postgraduate,TRUE
1168,Rakesh,rakesh@gmail.com,07-07-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Mysore,Karnataka,Postgraduate,TRUE
1169,Satyaraj,satyaraj@gmail.com,09-05-2022,FALSE,Male,XYZ Public School,Patna,Bihar,Grade 6-8,FALSE
1170,Vaishnav,vaishnav@gmail.com,06-10-2022,TRUE,Male,XYZ Public School,Amritsar,Punjab,Grade 6-8,TRUE
1171,Nagesh,nagesh@gmail.com,11-07-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Allahabad,Uttar Pradesh,Others,TRUE
1172,Amit,amit@gmail.com,01-09-2022,FALSE,Male,XYZ School Of Commerce,Agra,Uttar Pradesh,Professional,TRUE
1173,Ganesh,ganesh@gmail.com,10-03-2022,TRUE,Male,XYZ School Of Management Studies,Surat,Gujarat,Postgraduate,TRUE
1174,Trinay,trinay@gmail.com,14-07-2022,FALSE,Male,XYZ School Of Engineering,Pune,Maharashtra,Professional,TRUE
1175,Avesh,avesh@gmail.com,23-04-2022,TRUE,Male,XYZ Pu College,Bengaluru,Karnataka,Grade 8-12,FALSE
1176,Anil,anil@gmail.com,19-08-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Thiruvanantapuram,Kerala,Graduate,TRUE
1177,Ameesha,ameesha@gmail.com,09-10-2022,FALSE,Female,XYZ Pu College,Delhi,Delhi,Postgraduate,TRUE
1178,Amrutha,amrutha@gmail.com,09-09-2022,TRUE,Female,XYZ Public School,Agra,Uttar Pradesh,Grade 6-8,TRUE
1179,Akila,akila@gmail.com,29-09-2022,TRUE,Female,XYZ School Of Law,Bengaluru,Karnataka,Professional,FALSE
1180,Anusha,anusha@gmail.com,30-05-2022,FALSE,Female,XYZ School Of Architecture,Thiruvanantapuram,Kerala,Others,FALSE
1181,Anuja,anuja@gmail.com,17-02-2022,TRUE,Female,XYZ Pu College,Chennai,Tamil Nadu,Professional,FALSE
1182,Ashwini,ashwini@gmail.com,23-06-2022,FALSE,Female,XYZ Public School,Hyderabad,Telangana,Grade 6-8,TRUE
1183,Anushree,anushree@gmail.com,05-07-2022,TRUE,Female,XYZ Public School,Kolkata,West Bengal,Grade 8-12,TRUE
1184,Bhargavi,bhargavi@gmail.com,14-10-2022,TRUE,Female,XYZ School Of Applied Sciences And Research,Lucknow,Uttar Pradesh,Professional,FALSE
1185,Bhavya,bhavya@gmail.com,06-10-2022,TRUE,Female,XYZ School Of Law,Surat,Gujarat,Others,TRUE
1186,Bhavna,bhavna@gmail.com,03-07-2022,TRUE,Female,XYZ Public School,Kanpur,Uttar Pradesh,Grade 8-12,TRUE
1187,Brunda,brunda@gmail.com,31-05-2022,TRUE,Female,XYZ School Of Lifeskills,Thiruvanantapuram,Kerala,Postgraduate,TRUE
1188,Bhoomika,bhoomika@gmail.com,10-03-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Jaipur,Rajasthan,Graduate,TRUE
1189,Charitha,charitha@gmail.com,20-05-2022,FALSE,Female,XYZ School Of Lifeskills,Allahabad,Uttar Pradesh,Graduate,FALSE
1190,Deekshitha,deekshitha@gmail.com,18-02-2022,TRUE,Female,XYZ Pu College,Patna,Bihar,Graduate,FALSE
1191,Devna,devna@gmail.com,04-03-2022,FALSE,Female,XYZ Public School,Lucknow,Uttar Pradesh,Grade 6-8,FALSE
1192,Devi,devi@gmail.com,12-03-2022,TRUE,Female,XYZ Public School,Agra,Uttar Pradesh,Grade 8-12,TRUE
1193,Alia,alia@gmail.com,19-06-2022,FALSE,Female,XYZ School Of Dental And Medical Science,Bengaluru,Karnataka,Professional,FALSE
1194,Rishabh,rishabh@gmail.com,11-04-2022,FALSE,Male,XYZ Public School,Chennai,Tamil Nadu,Professional,TRUE
1195,Karan,karan@gmail.com,09-05-2022,TRUE,Male,XYZ School Of Dental And Medical Science,Lucknow,Uttar Pradesh,Postgraduate,TRUE
1196,Priyanka,priyanka@gmail.com,25-08-2022,TRUE,Female,XYZ Public School,Kolkata,West Bengal,Grade 6-8,TRUE
1197,Ishaan,ishaan@gmail.com,18-04-2022,TRUE,Male,XYZ Pu College,Hyderabad,Telangana,Professional,FALSE
1198,Poojitha,poojitha@gmail.com,15-08-2022,TRUE,Female,XYZ School Of Architecture,Mysore,Karnataka,Postgraduate,TRUE
1199,Gopi,gopi@gmail.com,01-08-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Allahabad,Uttar Pradesh,Others,FALSE
1200,Deepak,deepak@gmail.com,31-08-2022,TRUE,Male,XYZ School Of Engineering,Mumbai,Maharashtra,Postgraduate,FALSE
1201,Girish,girish@gmail.com,02-10-2022,FALSE,Male,XYZ School Of Commerce,Delhi,Delhi,Postgraduate,FALSE
1202,Harshini,harshini@gmail.com,26-05-2022,FALSE,Female,XYZ Public School,Bengaluru,Karnataka,Grade 6-8,FALSE
1203,Ganga,ganga@gmail.com,20-10-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Bengaluru,Karnataka,Postgraduate,FALSE
1204,Geethanjali,geethanjali@gmail.com,07-04-2022,FALSE,Female,XYZ Pu College,Agra,Uttar Pradesh,Postgraduate,FALSE
1205,Gopika,gopika@gmail.com,10-03-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Surat,Gujarat,Others,TRUE
1206,Harika,harika@gmail.com,29-04-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Amritsar,Punjab,Postgraduate,FALSE
1207,Hasini,hasini@gmail.com,25-03-2022,FALSE,Female,XYZ School Of Management Studies,Allahabad,Uttar Pradesh,Graduate,FALSE
1208,Indu,indu@gmail.com,13-08-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Noida,Uttar Pradesh,Postgraduate,FALSE
1209,Sankalp,sankalp@gmail.com,27-08-2022,FALSE,Male,XYZ School Of Architecture,Kanpur,Uttar Pradesh,Postgraduate,FALSE
1210,Guru,guru@gmail.com,20-10-2022,FALSE,Male,XYZ School Of Management Studies,Bengaluru,Karnataka,Graduate,FALSE
1211,Prasad,prasad@gmail.com,30-07-2022,FALSE,Male,XYZ School Of Lifeskills,Pune,Maharashtra,Postgraduate,FALSE
1212,Kushal,kushal@gmail.com,15-05-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Bengaluru,Karnataka,Others,FALSE
1213,Sailaja,sailaja@gmail.com,08-10-2022,FALSE,Female,XYZ School Of Commerce,Chennai,Tamil Nadu,Graduate,FALSE
1214,Lakshmi,lakshmi@gmail.com,13-08-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Mumbai,Maharashtra,Graduate,FALSE
1215,Rajesh,rajesh@gmail.com,19-03-2022,TRUE,Male,XYZ School Of Law,Pune,Maharashtra,Postgraduate,TRUE
1216,Sushmitha,sushmitha@gmail.com,17-05-2022,FALSE,Female,XYZ School Of Commerce,Kolkata,West Bengal,Professional,TRUE
1217,Shruthi,shruthi@gmail.com,09-09-2022,FALSE,Female,XYZ School Of Management Studies,Pune,Maharashtra,Graduate,FALSE
1218,Renuka,renuka@gmail.com,23-04-2022,TRUE,Female,XYZ School Of Law,Thiruvanantapuram,Kerala,Professional,TRUE
1219,Kruthika,kruthika@gmail.com,31-10-2022,TRUE,Female,XYZ Public School,Bengaluru,Karnataka,Grade 6-8,TRUE
1220,Vimal,vimal@gmail.com,28-03-2022,TRUE,Male,XYZ School Of Dental And Medical Science,Chennai,Tamil Nadu,Professional,FALSE
1221,Ajay,ajay@gmail.com,14-06-2022,FALSE,Male,XYZ School Of Commerce,Thiruvanantapuram,Kerala,Postgraduate,FALSE
1222,Akshay,akshay@gmail.com,13-04-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Hyderabad,Telangana,Others,FALSE
1223,Anand,anand@gmail.com,16-05-2022,FALSE,Male,XYZ School Of Law,Pune,Maharashtra,Professional,TRUE
1224,Keerthana,keerthana@gmail.com,05-02-2022,TRUE,Female,XYZ School Of Management Studies,Mumbai,Maharashtra,Postgraduate,TRUE
1225,Anjali,anjali@gmail.com,31-07-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Kolkata,West Bengal,Postgraduate,TRUE
1226,Mahesh,mahesh@gmail.com,18-09-2022,TRUE,Male,XYZ School Of Law,Delhi,Delhi,Professional,TRUE
1227,Alekhya,alekhya@gmail.com,19-03-2022,FALSE,Female,XYZ Public School,Surat,Gujarat,Grade 6-8,TRUE
1228,Nishitha,nishitha@gmail.com,12-04-2022,TRUE,Female,XYZ School Of Applied Sciences And Research,Thiruvanantapuram,Kerala,Graduate,FALSE
1229,Manoj,manoj@gmail.com,19-02-2022,TRUE,Male,XYZ Pu College,Bengaluru,Karnataka,Others,FALSE
1230,Abhinandan,abhi@gmail.com,15-06-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Lucknow,Uttar Pradesh,Postgraduate,FALSE
1231,Abhishek,abhishek@gmail.com,04-04-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Kanpur,Uttar Pradesh,Graduate,TRUE
1232,Sheela,sheela@gmail.com,22-08-2022,TRUE,Female,XYZ School Of Applied Sciences And Research,Noida,Uttar Pradesh,Professional,FALSE
1233,Geetha,geetha@gmail.com,28-03-2022,TRUE,Female,XYZ School Of Law,Jaipur,Rajasthan,Postgraduate,TRUE
1234,Bharat,bharat@gmail.com,21-06-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Bengaluru,Karnataka,Postgraduate,TRUE
1235,Vishnu,vishnu@gmail.com,14-09-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Mumbai,Maharashtra,Professional,FALSE
1236,Sumanth,sumanth@gmail.com,04-03-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Delhi,Delhi,Others,TRUE
1237,Suraj,suraj@gmail.com,10-05-2022,FALSE,Male,XYZ School Of Commerce,Noida,Uttar Pradesh,Others,TRUE
1238,Nithin,nithin@gmail.com,30-09-2022,TRUE,Male,XYZ School Of Management Studies,Kolkata,West Bengal,Postgraduate,FALSE
1239,Padma,padma@gmail.com,30-08-2022,FALSE,Female,XYZ School Of Management Studies,Lucknow,Uttar Pradesh,Others,TRUE
1240,Sita,sita@gmail.com,17-08-2022,TRUE,Female,XYZ School Of Engineering,Chennai,Tamil Nadu,Professional,TRUE
1241,Krishna,krishna@gmail.com,13-08-2022,FALSE,Male,XYZ School Of Management Studies,Hyderabad,Telangana,Professional,TRUE
1242,Parvathi,parvathi@gmail.com,28-03-2022,FALSE,Female,XYZ School Of Management Studies,Bengaluru,Karnataka,Others,TRUE
1243,Ved Pramsu,vpramsu@gmail.com,15-02-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Kanpur,Uttar Pradesh,Graduate,FALSE
1244,Kripal Mehul,kmehul@gmail.com,27-07-2022,TRUE,Male,XYZ Public School,Tirunelveli,Tamil Nadu,Grade 6-8,TRUE
1245,Jihan Purumitra Semerkant,jpurumitra@gmail.com,27-03-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Mumbai,Maharashtra,Others,FALSE
1246,Vipul Varati,vvarati@gmail.com,23-07-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Bhilai Nagar,Chhattisgarh,Others,FALSE
1247,Gopan Pullela,gpullela@gmail.com,22-09-2022,FALSE,Male,XYZ School Of Engineering,Rae Bareli,Uttar Pradesh,Professional,TRUE
1248,Atre Omkar,aomkar@gmail.com,19-08-2022,TRUE,Male,XYZ School Of Architecture,Vellore,Tamil Nadu,Graduate,FALSE
1249,Ratnabali Meyappan,rmeyappan@gmail.com,18-08-2022,FALSE,Female,XYZ Public School,Vellore,Tamil Nadu,Grade 8-12,FALSE
1250,Hafiza Vajipeyajula,hvajipeyajula@gmail.com,23-03-2022,FALSE,Female,XYZ School Of Law,Coimbatore,Tamil Nadu,Graduate,TRUE
1251,Anbuchelvan Musunur,amusunur@gmail.com,30-05-2022,TRUE,Male,XYZ Pu College,Aligarh,Uttar Pradesh,Postgraduate,FALSE
1252,Rituparan Ubriani,rubriani@gmail.com,15-03-2022,FALSE,Male,XYZ School Of Applied Sciences And Research,Bhopal,Madhya Pradesh,Postgraduate,TRUE
1253,Chanchal Haryadi,charyadi@gmail.com,27-07-2022,FALSE,Male,XYZ School Of Management Studies,Allahabad,Uttar Pradesh,Professional,TRUE
1254,Geeti Saurin,gsaurin@gmail.com,20-02-2022,TRUE,Female,XYZ School Of Lifeskills,Rae Bareli,Uttar Pradesh,Graduate,TRUE
1255,Bhagyalakshmi Jetashri Neelakantachar,bjetashri@gmail.com,28-02-2022,FALSE,Female,XYZ School Of Engineering,Balaghat,Madhya Pradesh,Others,TRUE
1256,Tapti Rewari,trewari@gmail.com,16-10-2022,TRUE,Female,XYZ School Of Architecture,Ahmedabad,Gujarat,Graduate,FALSE
1257,Mitul Trigun Ganguly,mtrigun@gmail.com,14-10-2022,FALSE,Male,XYZ Public School,New Delhi,Delhi,Grade 6-8,TRUE
1258,Madhukanta Khanderia,mkhanderia@gmail.com,01-08-2022,FALSE,Male,XYZ School Of Lifeskills,Ahmedabad,Gujarat,Postgraduate,FALSE
1259,Serena Pasapuleti,spasapuleti@gmail.com,03-10-2022,FALSE,Female,XYZ Public School,Lucknow,Uttar Pradesh,Grade 8-12,FALSE
1260,Atre Omkar,aomkar@gmail.com,02-09-2022,FALSE,Male,XYZ Pu College,New Delhi,Delhi,Graduate,FALSE
1261,Aboil Bhatti,abhatti@gmail.com,01-04-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Rae Bareli,Uttar Pradesh,Others,FALSE
1262,Sukhdev Garlanka,sgarlanka@gmail.com,27-09-2022,FALSE,Male,XYZ Pu College,Bhopal,Madhya Pradesh,Professional,FALSE
1263,Nikhilesh Probal,nprobal@gmail.com,10-05-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Balaghat,Madhya Pradesh,Postgraduate,TRUE
1264,Aslesha Yamini,ayamini@gmail.com,04-06-2022,TRUE,Female,XYZ Pu College,Jaipur,Rajasthan,Graduate,FALSE
1265,Eshwar Sinduvalli,esinduvalli@gmail.com,12-08-2022,TRUE,Male,XYZ School Of Management Studies,Jamnagar,Gujarat,Professional,TRUE
1266,Changuna Gutala,cgutala@gmail.com,08-07-2022,FALSE,Female,XYZ Public School,Agra,Uttar Pradesh,Grade 6-8,TRUE
1267,Ramakanta Veera Naidoo,rveera@gmail.com,08-09-2022,TRUE,Male,XYZ School Of Applied Sciences And Research,Bhubaneswar,Odisha,Graduate,FALSE
1268,Vasuman Mageshkumar,vmageshkumar@gmail.com,15-03-2022,FALSE,Male,XYZ School Of Law,Vadodara,Gujarat,Postgraduate,FALSE
1269,Sanwari Prashun,sprashun@gmail.com,01-06-2022,FALSE,Female,XYZ Pu College,Tirunelveli,Tamil Nadu,Grade 8-12,TRUE
1270,Sita Krishnamma,skrishnamma@gmail.com,20-07-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Allahabad,Uttar Pradesh,Professional,FALSE
1271,Smarajit Prasenjit,sprasenjit@gmail.com,11-04-2022,TRUE,Male,XYZ Pu College,Bhilai Nagar,Chhattisgarh,Professional,FALSE
1272,Gayatri Sreekanthan,gsreekanthan@gmail.com,14-02-2022,FALSE,Female,XYZ Pu College,Tirunelveli,Tamil Nadu,Grade 8-12,TRUE
1273,Punarnava Randeep,prandeep@gmail.com,03-10-2022,FALSE,Female,XYZ School Of Lifeskills,Bharatpur,Rajasthan,Postgraduate,TRUE
1274,Sashi Chippada,schippada@gmail.com,18-10-2022,FALSE,Female,XYZ Pu College,Madurai,Tamil Nadu,Postgraduate,FALSE
1275,Tusharsuvra Kanvar Kaisth,tkanvar@gmail.com,13-07-2022,FALSE,Male,XYZ School Of Management Studies,New Delhi,Delhi,Professional,FALSE
1276,Pramada Vuppula,pvuppula@gmail.com,08-07-2022,FALSE,Female,XYZ School Of Architecture,Ajmer,Rajasthan,Others,TRUE
1277,Sushrut Milan,smilan@gmail.com,31-08-2022,TRUE,Male,XYZ School Of Law,Meerut,Uttar Pradesh,Graduate,FALSE
1278,Manjusri Privrata,mprivrata@gmail.com,21-05-2022,FALSE,Female,XYZ School Of Commerce,Nashik,Maharashtra,Postgraduate,FALSE
1279,Sushrut Milan,smilan@gmail.com,16-08-2022,TRUE,Male,XYZ School Of Dental And Medical Science,Sambalpur,Odisha,Graduate,TRUE
1280,Eshwar Sinduvalli,esinduvalli@gmail.com,20-10-2022,FALSE,Male,XYZ School Of Engineering,Agra,Uttar Pradesh,Others,FALSE
1281,Ishwar Somendra,isomendra@gmail.com,12-07-2022,FALSE,Male,XYZ School Of Commerce,Dhenkanal,Odisha,Graduate,FALSE
1282,Basudha Poola,bpoola@gmail.com,30-03-2022,FALSE,Male,XYZ School Of Architecture,Kanpur,Uttar Pradesh,Graduate,TRUE
1283,Madhusudan Ramchander,mramchander@gmail.com,16-07-2022,TRUE,Male,XYZ School Of Law,Vellore,Tamil Nadu,Graduate,TRUE
1284,Jaishree Rabinder,jrabinder@gmail.com,06-03-2022,FALSE,Female,XYZ Pu College,Nagpur,Maharashtra,Grade 8-12,TRUE
1285,Bankebihari Monica,bmonica@gmail.com,13-05-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Thiruvananthapuram,Kerala,Graduate,FALSE
1286,Deviprasad Pavithran,dpavithran@gmail.com,16-05-2022,TRUE,Male,XYZ Public School,Wardha,Maharashtra,Grade 6-8,FALSE
1287,Hafiza Vajipeyajula,hvajipeyajula@gmail.com,30-08-2022,TRUE,Female,XYZ Public School,Agra,Uttar Pradesh,Grade 8-12,FALSE
1288,Upamanyu Subbarayudu,usubbarayudu@gmail.com,29-07-2022,TRUE,Male,XYZ School Of Law,Lucknow,Uttar Pradesh,Others,FALSE
1289,Tanima Nitya Shamir,tnitya@gmail.com,14-05-2022,TRUE,Female,XYZ School Of Engineering,Pune,Maharashtra,Professional,FALSE
1290,Nutan Lahan,nlahan@gmail.com,23-06-2022,TRUE,Female,XYZ School Of Engineering,Allahabad,Uttar Pradesh,Professional,TRUE
1291,Hirkani Konkipudi,hkonkipudi@gmail.com,03-05-2022,TRUE,Female,XYZ Public School,Bhubaneswar,Odisha,Grade 6-8,TRUE
1292,Tusharsuvra Kanvar Kaisth,tkanvar@gmail.com,21-03-2022,TRUE,Male,XYZ School Of Engineering,Balaghat,Madhya Pradesh,Others,TRUE
1293,Namrata Marichi Neel,nmarichi@gmail.com,02-04-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Varanasi,Uttar Pradesh,Others,TRUE
1294,Shyamal Agarwal,sagarwal@gmail.com,12-05-2022,FALSE,Male,XYZ Public School,Ajmer,Rajasthan,Grade 8-12,FALSE
1295,Akshit Mallya,amallya@gmail.com,12-09-2022,FALSE,Male,XYZ School Of Engineering,Jodhpur,Rajasthan,Professional,FALSE
1296,Thumri Surina Viswanathan,tsurina@gmail.com,02-06-2022,TRUE,Female,XYZ School Of Management Studies,Kanpur,Uttar Pradesh,Professional,TRUE
1297,Suranjana Gala,sgala@gmail.com,04-07-2022,FALSE,Female,XYZ School Of Dental And Medical Science,Bharatpur,Rajasthan,Professional,FALSE
1298,Tripuri Parthasarathy,tparthasarathy@gmail.com,10-02-2022,FALSE,Female,XYZ School Of Law,Bhubaneswar,Odisha,Professional,FALSE
1299,Trupti Sashti,tsashti@gmail.com,01-03-2022,TRUE,Female,XYZ Public School,Raipur,Chhattisgarh,Grade 6-8,FALSE
1300,Serena Pasapuleti,spasapuleti@gmail.com,09-06-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Coimbatore,Tamil Nadu,Postgraduate,TRUE
1301,Bhairav Kodumudi,bkodumudi@gmail.com,07-02-2022,TRUE,Male,XYZ School Of Law,Dhenkanal,Odisha,Professional,FALSE
1302,Vinay Poola,vpoola@gmail.com,18-07-2022,TRUE,Male,XYZ School Of Dental And Medical Science,Coimbatore,Tamil Nadu,Postgraduate,TRUE
1303,Khushal Srijata,ksrijata@gmail.com,15-07-2022,TRUE,Male,XYZ Public School,Aligarh,Uttar Pradesh,Grade 6-8,FALSE
1304,Ibhanan Chandrasekaran,ichandrasekaran@gmail.com,25-03-2022,TRUE,Male,XYZ School Of Engineering,New Delhi,Delhi,Professional,FALSE
1305,Binata Satyavati,bsatyavati@gmail.com,28-02-2022,TRUE,Female,XYZ Pu College,Bhilai Nagar,Chhattisgarh,Grade 8-12,TRUE
1306,Suryabhan Makhija,smakhija@gmail.com,31-05-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Porbandar,Gujarat,Graduate,TRUE
1307,Ashima Sangodkar,asangodkar@gmail.com,27-10-2022,FALSE,Female,XYZ School Of Lifeskills,Mumbai,Maharashtra,Postgraduate,FALSE
1308,Suryakanta Revathi,srevathi@gmail.com,12-02-2022,FALSE,Male,XYZ Public School,Bikaner,Rajasthan,Grade 6-8,TRUE
1309,Suniti Dosanjh,sdosanjh@gmail.com,06-04-2022,FALSE,Female,XYZ Public School,Wardha,Maharashtra,Grade 6-8,TRUE
1310,Dulari Pushkar,dpushkar@gmail.com,06-09-2022,TRUE,Female,XYZ School Of Dental And Medical Science,Bikaner,Rajasthan,Professional,FALSE
1311,Mausumi Raghunandan,mraghunandan@gmail.com,08-04-2022,FALSE,Female,XYZ Public School,Nagpur,Maharashtra,Grade 8-12,FALSE
1312,Dulari Pushkar,dpushkar@gmail.com,24-04-2022,TRUE,Female,XYZ Public School,Indore,Madhya Pradesh,Grade 6-8,FALSE
1313,Dharmesh Sathasivam,dsathasivam@gmail.com,12-06-2022,FALSE,Male,XYZ School Of Dental And Medical Science,Jabalpur,Madhya Pradesh,Graduate,TRUE
1314,Rekha Sahni,rsahni@gmail.com,19-09-2022,FALSE,Female,XYZ School Of Applied Sciences And Research,Gwalior,Madhya Pradesh,Graduate,FALSE
1315,Husna Chittibabu,hchittibabu@gmail.com,19-06-2022,TRUE,Female,XYZ School Of Lifeskills,Ahmednagar,Maharashtra,Postgraduate,TRUE
1316,Tapti Rewari,trewari@gmail.com,01-06-2022,FALSE,Female,XYZ Public School,Cuttack,Odisha,Grade 6-8,FALSE
1317,Ekanga Jagder,ejagder@gmail.com,24-05-2022,TRUE,Male,XYZ Pu College,Agra,Uttar Pradesh,Postgraduate,TRUE
1318,Gangesh Thommana,gthommana@gmail.com,11-06-2022,FALSE,Male,XYZ School Of Commerce,Indore,Madhya Pradesh,Graduate,TRUE
1319,Aftab Mitul,amitul@gmail.com,20-03-2022,TRUE,Male,XYZ School Of Law,Kanpur,Uttar Pradesh,Professional,FALSE
1320,Vedavrata Kirmani,vkirmani@gmail.com,20-10-2022,FALSE,Male,XYZ School Of Law,Bikaner,Rajasthan,Graduate,FALSE
